,beername,year,rating,
26,Kloud Original Gravity,2014,2.285714286,
26,Kloud Original Gravity,2015,2.384615385,
26,Kloud Original Gravity,2016,2.323529412,
26,Kloud Original Gravity,2017,2.268421053,
26,Kloud Original Gravity,2018,2.02,
26,Kloud Original Gravity,2019,2.50625,
26,Kloud Original Gravity,2020,2.528571429,
26,Kloud Original Gravity,2021,1.9,
27,Terra,2019,1.575,
27,Terra,2020,2.1,
28,Max Cream,2015,2.433333333,
28,Max Cream,2016,2.5875,
28,Max Cream,2017,2.4625,
28,Max Cream,2018,2.2,
28,Max Cream,2019,2.333333333,
29,FiLite,2017,2.566666667,
29,FiLite,2018,2.325,
29,FiLite,2019,2.25,
30,Jeju Wit Ale,2017,3.55,
30,Jeju Wit Ale,2018,3.2,
30,Jeju Wit Ale,2019,2.4,
30,Jeju Wit Ale,2020,3.2,
31,Jeju Pellong Ale,2019,2.9,
32,Jeju Baengnokdam Ale,2019,2.633333333,
32,Jeju Baengnokdam Ale,2020,2.95,
32,Jeju Baengnokdam Ale,2021,3.5,
33,HiteJinro Isul Tok Tok,2018,2.3,
33,HiteJinro Isul Tok Tok,2019,1.6,
34,Kabrew Gyeongbokgung Royal Pride IPA,2019,3.05,
34,Kabrew Gyeongbokgung Royal Pride IPA,2020,3.266666667,
34,Kabrew Gyeongbokgung Royal Pride IPA,2021,3.8,
35,ARK Seoulite Ale,2018,2.883333333,
35,ARK Seoulite Ale,2019,3.05,
35,ARK Seoulite Ale,2020,3.35,
36,Hop House 13 Lager,2015,2.9,
36,Hop House 13 Lager,2016,2.878021978,
36,Hop House 13 Lager,2017,2.745544554,
36,Hop House 13 Lager,2018,2.949473684,
36,Hop House 13 Lager,2019,3.047945205,
36,Hop House 13 Lager,2020,2.909433962,
36,Hop House 13 Lager,2021,2.96,
37,Blue Moon Belgian White,2000,3.111111111,
37,Blue Moon Belgian White,2001,3.267272727,
37,Blue Moon Belgian White,2002,3.105035971,
37,Blue Moon Belgian White,2003,2.98046875,
37,Blue Moon Belgian White,2004,3.065142857,
37,Blue Moon Belgian White,2005,3.092344498,
37,Blue Moon Belgian White,2006,2.995686275,
37,Blue Moon Belgian White,2007,3.002266289,
37,Blue Moon Belgian White,2008,3.029617834,
37,Blue Moon Belgian White,2009,2.923696682,
37,Blue Moon Belgian White,2010,2.984516129,
37,Blue Moon Belgian White,2011,2.974496644,
37,Blue Moon Belgian White,2012,3.007968127,
37,Blue Moon Belgian White,2013,3.007392996,
37,Blue Moon Belgian White,2014,2.986124402,
37,Blue Moon Belgian White,2015,2.848,
37,Blue Moon Belgian White,2016,2.924369748,
37,Blue Moon Belgian White,2017,3.220833333,
37,Blue Moon Belgian White,2018,3.058571429,
37,Blue Moon Belgian White,2019,3.037179487,
37,Blue Moon Belgian White,2020,3.158928571,
37,Blue Moon Belgian White,2021,2.888235294,
