,맥주정보,검색이름,맥주이름
66,"KyotoLefty(14,037)
🇯🇵Kyoto, Japan
2.1April 2, 2017
Can at Inchon. Nose of corn, sweet mash, creamy. Very pale yellow. Lame, thin, sweet and grainy flavor. Almost no hops at all. Thick but watery, fruity and estery. Peaches, melon,…
Show more
Aroma
5
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",Cass Fresh,Cass Fresh
67,"Frank(4,478)
🇺🇸Chicago, United States
2.3March 15, 2017
This is kinda tasty but not really well made. There’s a specific banana note to this which I associate with stressed lager yeast. It’s fine though. Nice and light with a ton of…
Show more
Aroma
5
Appearance
3
Flavor
4
Mouthfeel
3
Overall
8",Cass Fresh,Cass Fresh
68,"vipinvelp(6,094)
🇳🇱Velp, Netherlands
2.1March 11, 2017
Clear pale yellow, short lasting white foam head. Malty aroma and light malty taste. It’s fresh indeed, that’s all. (Velp 201703)
Aroma
4
Appearance
2
Flavor
5
Mouthfeel
2
Overall
8",Cass Fresh,Cass Fresh
69,"deanso(13,869)
🇬🇧Doncaster, England
1.8February 23, 2017
33cl can courtesy og JMGreenUK
Thin white head. Slightly hazy pale golden pour. A bland…
Show more
Aroma
4
Appearance
2
Flavor
3
Mouthfeel
2
Overall
7",Cass Fresh,Cass Fresh
70,"Rubin77(6,675)
🇧🇪Brussels, Belgium
2.2February 1, 2017
F: big, white, good retention.
C: pale gold, clear.…
Show more
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
10",Cass Fresh,Cass Fresh
71,"Marheb(6,366)
🇨🇦Montreal, Canada
2.0January 19, 2017
(En fût à BiergartenLA): Jus de lime et citron artificiel, extrême minceur du profil céréalier et du corps. C’est presque un radler tellement l’aspect orge est douteux voir…
Show more
Aroma
5
Appearance
3
Flavor
3
Mouthfeel
1
Overall
8",Cass Fresh,Cass Fresh
72,"ANZUShophunter(1,947)
🇦🇺Brisbane, Australia
1.6July 8, 2020
Rating from old records. From bottle into shaker. Fairly ordinary in all aspects
BOTTLE
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
6",Cass Fresh,Cass Fresh
73,"HighSparkDiesel(620)
🇹🇼Taipei City, Taiwan
1.2December 29, 2016
I’m rating this one purely for nostalgic reasons, having worked in Seoul for three and a half years. Back to back with ’Hite’, which is best? A small can from the local  Quan Lian…
Show more
Aroma
2
Appearance
2
Flavor
2
Mouthfeel
2
Overall
4",Cass Fresh,Cass Fresh
74,"YantarCoast(3,350)
🇷🇺Moscow, Russia
2.0December 25, 2016
500ml from a Korean store down the road from Piligrim in Moscow. Pours clear yellow with a small white head. Aroma is corn, paper, pale malt. Taste is stale malt, corn. Reminds…
Show more
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",Cass Fresh,Cass Fresh
75,"Marduk(14,656)
🇪🇪Reval, Estonia
1.5November 26, 2016
330ml can (thanks Ares). Clear pale yellow color. Small size, white head, stays. Papery, plastic, corny, straw in aroma. Plastic, horrible acetone, corny, starch, sweet and papery in…
Show more
Aroma
4
Appearance
2
Flavor
3
Mouthfeel
1
Overall
5",Cass Fresh,Cass Fresh
76,"glennmastrange(3,361)
🇺🇸hobe sound, United States
2.3November 20, 2016
Bottle. Pale grain and perfume aromas, light sweetness and some acidity, and a water feel. Drinkable, but I’ll pass.
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
3
Overall
8",Cass Fresh,Cass Fresh
77,"acemilan(1,041)
🇵🇱Wroclaw, Poland
1.9November 6, 2016
Piwo o barwie zlotej bez piany. Zapach i smak lekko slodowy w porownaniu do poprzednikow brak metalowosci
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
1
Overall
8",Cass Fresh,Cass Fresh
78,"efeesse(1,209)
🇩🇪Ingolstadt, Germany
2.2October 19, 2016
Beer with light color, light body, soft carbonized, some foam in the top, (drunk from beer tower in Jeju,KR restaurant).
Aroma
5
Appearance
4
Flavor
5
Mouthfeel
4
Overall
4",Cass Fresh,Cass Fresh
79,"KeefOz(3,203)
🇦🇺TARRAGINDI, Australia
2.4September 12, 2016
BB Apr 2017. Poured a crystal clear mid-amber with a one- to two-finger bright white foamy head that retained very well but laced poorly. Carbonation high, lively and medium to…
Show more
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
10",Cass Fresh,Cass Fresh
80,"Thompson(755)
2.6August 27, 2016
Bottle shared with benzai... No head but leaves a small rim around the edge.. Clear yellow/golden colour... Smell faint malts yeast grassy.. Taste malts alcohol is almost not…
Show more
Aroma
5
Appearance
2
Flavor
6
Mouthfeel
2
Overall
11",Cass Fresh,Cass Fresh
